Project Title,Source URL,Summary,Date Published,Location,Source,First Seen,Score
Goodwyn Mills Cawood Supports Completion of Richard Arthur Field Airport Expansion in Alabama,https://www.constructionowners.com/news/goodwyn-mills-cawood-supports-completion-of-richard-arthur-field-airport-expansion-in-alabama,"Goodwyn Mills Cawood supported the expansion of Richard Arthur Field Airport in Fayette, Alabama, adding new hangars, apron space, and airfield...",2026-08-11,United States - Alabama,news,2026-08-17,12
South Korea's t'way Air delays MRO hangar to late 4Q27,https://www.ch-aviation.com/news/170617-south-koreas-tway-air-delays-mro-hangar-to-late-4q27,"t'way Air (TW, Daegu) has again postponed construction of its planned KRW136.5 billion won (USD96.4 million) maintenance hangar at Seoul Incheon airport,...",2026-08-12,South Korea,news,2026-08-17,28
New hangar facility prepares F.E. Warren AFB for next step in nuclear security,https://www.wyomingnews.com/laramieboomerang/news/new-hangar-facility-prepares-f-e-warren-afb-for-next-step-in-nuclear-security/article_23abb4d0-c9a2-48a0-a6bf-580137202060.html,"CHEYENNE — A new $140 million helicopter and Tactical Response Force operations facility at F.E. Warren Air Force Base officially opened Friday,...",2026-08-16,United States - Wyoming,news,2026-08-17,18
N180bn aircraft maintenance drain puts Nigeria’s MRO ambitions to test,https://www.google.com/goto?url=CAESmQEB7keqTUBAIxI7NqWWJEQgoloZgAHzpDr-AEHkMPlhOUQ7LmMWLZ3mGqQDFmcp7q1k_JETNyPrPfxMdzsuxRv7PAehaszjmuYbhi3U1eGwsl2Tt2YbufMaBEz1yLLktNdL9rXBJvh-_HTW_PRRxhfeLd8IwOVJWM4piz_4uv4_HCJI9Z1F6HxOvc8rBUrHI9Aph9ytmGMAp18=,"The Nigerian aviation industry is losing a significant share of its aircraft maintenance spending to overseas facilities, with local airlines still forced...",2026-08-11,Nigeria,news,2026-08-17,12
Chandler Approves 29 New Executive Hangars,https://avweb.com/aviation-news/chandler-approves-29-executive-hangars/,Private development at Chandler Municipal Airport will add more than 113000 square feet of aircraft storage at the Arizona airport.,2026-08-14,United States - Arizona,news,2026-08-17,24
"Perini Management Services, Inc. Awarded $42 Million Construction Completion Project at Tabuk Air Base, Saudi Arabia",https://finance.yahoo.com/real-estate/articles/perini-management-services-inc-awarded-100000268.html,"LOS ANGELES, August 13, 2026--Tutor Perini Corporation (NYSE: TPC) (the ""Company""), a leading civil, building and specialty construction company,...",2026-08-13,Saudi Arabia,news,2026-08-17,23
Fort Smith’s Ebbing Air Force Base awarded construction contracts,https://www.aol.com/articles/fort-smith-ebbing-air-force-015116000.html,"FORT SMITH, Ark. (KNWA/KFTA) — The Army Corps of Engineers has been awarded nearly $81 million in contracts as part of a multi-year buildout for Ebbing Air...",2026-08-12,United States - Arkansas,news,2026-08-17,16
Iowa airports get $10M boost for safety and upgrades,https://www.kwwl.com/news/iowa-airports-get-10m-boost-for-safety-and-upgrades/article_795004ac-4346-4fd2-bb31-0b3d6bcc23f8.html,The Iowa Transportation Commission approved more than $10 million for the state's aviation program in the next fiscal year.,2026-08-12,United States - Iowa,news,2026-08-17,12
"Minden-Tahoe Eyes Landing Fees, More Hangars",https://avweb.com/aviation-news/minden-taho-landing-fees-hangar-waitlist/,Minden-Tahoe Airport in Nevada is considering landing fees and additional hangar development as officials look for ways to increase airport revenue.,2026-08-13,United States - New York,news,2026-08-17,20
Major aircraft maintenance facility proposed for Shannon Airport,https://www.clareecho.ie/major-aircraft-maintenance-facility-proposed-for-shannon-airport/,"A MAJOR new aircraft Maintenance, Repair and Overhaul (MRO) facility has been proposed for Shannon Airport, with plans lodged for a new hangar building,...",2026-08-16,Ireland,news,2026-08-17,26
Eno pledges completion of aircraft maintenance facility as Ibom Air acquires new Airbus soon,https://businessday.ng/life/article/eno-pledges-completion-of-aircraft-maintenance-facility-as-ibom-air-acquires-new-airbus-soon/?utm_source=auto-read-also&utm_medium=web&amp,"Governor Umo Eno of Akwa Ibom State has pledged to complete the Maintenance, Repair and Overhaul (MRO) facility at the Victor Attah...",2026-08-16,Nigeria,news,2026-08-17,15
Airport repair bids come in under budget,https://www.southernminn.com/owatonna_peoples_press/news/airport-repair-bids-come-in-under-budget/article_bc121b24-1664-4a20-bee1-26b6e3cc885a.html,"Degner Regional Airport is due for additional maintenance, on top of a repair project approved last month.",2026-08-15,United States,news,2026-08-17,12
"Danville government wrap-up: Air ambulance approved, hangar fees delayed, school budget finalized",https://www.chathamstartribune.com/education/article_20f0d152-8ef6-496f-a29a-d7e69fc87044.html,"Rocky Mountain Holdings, under the name of Air Care Eagle, will set up shop at Danville Regional Airport. ""The helicopter will be based at the Danville...",2026-08-12,United States - Virginia,news,2026-08-17,22
Brussels Airport Begins Construction of Quieter Aircraft Engine Testing Facility,https://www.travelwires.com/brussels-airport-begins-construction-of-quieter-aircraft-engine-testing-facility/,Brussels Airport has begun construction of a new ground run-up enclosure (GRE) designed to reduce noise generated during post-maintenance aircraft engine...,2026-08-13,Belgium,news,2026-08-17,12
"Around Chandler: Week of Aug. 16, 2026",https://www.chandlernews.com/arizonan/citynews/around-chandler-week-of-aug-16-2026/article_35a25e1d-dad8-49f6-9b81-c928140d66dd.html,Chandler awards contract to build hangars at Airport. The City of Chandler has approved a ground lease with Vesper Aviation and CHD Curtis East LLC to build...,2026-08-16,United States - Arizona,news,2026-08-17,14
Fire suppression aircraft grounded due to weather,https://www.kolotv.com/2026/08/13/fire-suppression-aircraft-grounded-due-weather/,"RENO, Nev. (KOLO) - Fire suppression aircraft have been grounded at Reno Stead Airport due to the weather, according to Washoe County officials.",2026-08-13,United States - Nevada,news,2026-08-17,12
"RFI - 37250PR260000091 - USCG Sector San Diego - FAA Regulated Hangar Fire System Testing, Certification, and Maintenance + Standard Fire Equipment and Systems Testing and Certification",https://sam.gov/opp/9c267915e382491ca7e822ab9b0065d4/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=9c267915e382491ca7e822ab9b0065d4,2026-08-14,United States - California,sam_gov,2026-08-17,20
129 CEF - Repair Hangar Doors,https://sam.gov/opp/e4d9cac5f73a431eaa603511bcfe649c/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=e4d9cac5f73a431eaa603511bcfe649c,2026-08-13,United States - California,sam_gov,2026-08-17,20
"REQUEST FOR PROPOSAL (RFP), N62473-24-R-3204_ N62473-26-R-G-006 CHINA LAKE PILOT PLANT HISTORIC DISTRICT AND HANGAR 1 HISTORIC AMERICAN BUILDING SURVEY DOCUMENTATION AT NAVAL AIR WEAPONS STATION CHINA LAKE, RIDGECREST, CALIFORNIA",https://sam.gov/opp/cc2d38477ec8460e81aedccf754f4ddf/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=cc2d38477ec8460e81aedccf754f4ddf,2026-08-13,United States,sam_gov,2026-08-17,38
"TINKER AFB MAC BOA WWYK250131 Replace Ridge Cap on Hangar Roof, B824",https://sam.gov/opp/313f6775ed6f4684be1f411338acce64/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=313f6775ed6f4684be1f411338acce64,2026-08-13,United States - Oklahoma,sam_gov,2026-08-17,20
Lead Paint Abatement – Hangar Doors,https://sam.gov/opp/ff9effb24b9c4920908e2efeccf62556/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ff9effb24b9c4920908e2efeccf62556,2026-08-12,United States,sam_gov,2026-08-17,20
"Repair B632, Fire Suppression and Hangar Door",https://sam.gov/opp/f8f692def0e249a3a326d8279cd428f2/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f8f692def0e249a3a326d8279cd428f2,2026-08-11,United States - Illinois,sam_gov,2026-08-17,32
HANGAR 9 CAMERA UPGRADE,https://sam.gov/opp/dac493095ca5478fa95bee4d798e491a/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=dac493095ca5478fa95bee4d798e491a,2026-08-11,United States - Hawaii,sam_gov,2026-08-17,20
Design-Build to Budget (DB2B) Tactical Unmanned Aerial Vehicle (TUAV) Hangar,https://sam.gov/opp/cd6fea492fef48a3b99b7154d8536181/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=cd6fea492fef48a3b99b7154d8536181,2026-08-11,United States,sam_gov,2026-08-17,24
HANGAR FIRE SUPPRESSION SYSTEM RENOVATION,https://sam.gov/opp/c29702c2861842599e28bc5f1654beae/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c29702c2861842599e28bc5f1654beae,2026-08-11,United States,sam_gov,2026-08-17,32
"Sole Source OEM ""Jered, LLC"" - Helicopter Hangar Door Parts",https://sam.gov/opp/789609e02d034417b4fcea9d7f82196f/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=789609e02d034417b4fcea9d7f82196f,2026-08-11,Japan,sam_gov,2026-08-17,20
"Aircraft Hangar Fall Arrest System Maintenance, Certification & Repair Services on Andersen AFB, Guam",https://sam.gov/opp/4f9ad1b948004c4fafc4b72c1f6173fa/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=4f9ad1b948004c4fafc4b72c1f6173fa,2026-08-11,United States - Guam,sam_gov,2026-08-17,20
Scott AFB IL Hangar Roof Repair,https://sam.gov/opp/4a072ceb1c45428588e9c7dbb24dfd99/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=4a072ceb1c45428588e9c7dbb24dfd99,2026-08-07,United States - Illinois,sam_gov,2026-08-17,20
New Hangar Air Compressor,https://sam.gov/opp/47046d19bf49486e9ecf8bc4f7d7b25d/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=47046d19bf49486e9ecf8bc4f7d7b25d,2026-08-07,United States - Florida,sam_gov,2026-08-17,20
"Repairs to Hangar 6, B9670 @ MCAS Miramar, San Diego, CA",https://sam.gov/opp/d26555ac1d124aafac7962c8a32dea80/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d26555ac1d124aafac7962c8a32dea80,2026-08-06,United States - California,sam_gov,2026-08-17,20
Retrofit of Existing Hangar - ADAL Fuel Cell Building 1674,https://sam.gov/opp/685bf58016264fca9a336e1ac5022779/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=685bf58016264fca9a336e1ac5022779,2026-08-06,United States,sam_gov,2026-08-17,20
"A-E 35% Design Aircraft Hangar Repair Fire Protection Systems PDPG22-1009 March ARB, CA",https://sam.gov/opp/e4a0f355e40a406c972b33e9a6884701/view,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=e4a0f355e40a406c972b33e9a6884701,2026-08-05,United States - California,sam_gov,2026-08-17,32
